ID,Licensing Entity Name,License Name,License Description,ISIC Number,Service Name,Ministry Involved,Service Fees,Service Duration,Conditions/Requirements,Service Description,Additional Information
525,Saudi Food and Drug Authority (SFDA),Licensing a facility for importing and distributing medical devices in the event that there is an existing building outside the scope of the industrial cities,This service enables the investor to import and distribute medical devices and supplies for the facility operating in this field.,"464956 , 477221 , 464957",Endorsement of cadres visas,SFDA,Free,Undefined ,No data available,Submitting a request to support the technical staff of the facilities operating in the field of medical devices and products.,"This procedure is automated.
This step is not mandatory for Issuance of the license, but is required to run the activity."
526,Saudi Food and Drug Authority (SFDA),Licensing a facility for importing and distributing medical devices in the event that there is an existing building outside the scope of the industrial cities,This service enables the investor to import and distribute medical devices and supplies for the facility operating in this field.,"464956 , 477221 , 464957",Issuance of visas for cadres,Ministry of Human Resources and Social Development,Depending on visas,14 days,No data available,Submitting an application for cadres visas.,"This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment.
This step is not mandatory for Issuance of the license, but is required to run the activity."
527,Saudi Food and Drug Authority (SFDA),Licensing a facility for importing and distributing medical devices in the event that there is an existing building outside the scope of the industrial cities,This service enables the investor to import and distribute medical devices and supplies for the facility operating in this field.,"464956 , 477221 , 464957",Commencing activity,No data available,No data available,No data available,No data available,Start practicing the activity after license issuance .,No data available
528,Saudi Food and Drug Authority (SFDA),Licensing a facility for importing and distributing medical devices in the event that there is an existing building outside the scope of the industrial cities,This service enables the investor to import and distribute medical devices and supplies for the facility operating in this field.,"464956 , 477221 , 464957",Field inspection,SFDA,Free,3 days,No data available,SFDA inspectors' visit to the facility.,"This procedure requires payment.
This step is not mandatory for Issuance of the license, but is required to run the activity."
529,Saudi Food and Drug Authority (SFDA),Certified representative license,This service enables the investor to conclude an agreement between the foreign manufacturer and the legal representative inside the Kingdom of Saudi Arabia.,691061,Issuance an investment license for the foreign investor,Ministry of Investment,"2000 SR / year
5 years maximum",One day ,"• The investment activity shall not be included in the list of activities excluded from foreign investment.
• The product specifications shall conform to the Saudi, Gulf or international specifications.
• Applicant shall not have conclusive rulings against him due to violations of system provisions inside or outside the Kingdom.
• The license applicant shall abide by the conditions and requirements attached to the investment license application form.
• Investment objectives shall be achieved and conditions and regulations on license renewal applications shall be implemented. 
• Presence of a license to practice commercial activity in the Kingdom for foreign investors.
• Presence of the commercial registration and articles of association of the facility in its country, certified by the competent entities and the Saudi embassy.
• A commercial register or an extract from the civil status as a proof of profession.
• Presence of articles of association of a limited liability company.
• Presence of Articles of Association of the joint-stock company.
• Presence of the general manager's passport.
• Presence of the national ID and the family card if one of the partners has the Saudi nationality.
• Submission of the partners' decision stating their desire to invest in the Kingdom, indicating the partners' names, the capital, the ownership percentage of each partner, the main office of the facility and the nature of its activity.
• Appointment of a general manager, determining his powers and certifying it by respective entities and the Saudi embassy.
• Provision of initial approval from the relevant ministries or entities if the activity requires approval.
• Provision of a detailed action plan.
• Submission of a minimum of 3 year budget for the facility requesting a license from outside the Kingdom, showing the soundness of the financial position. The budget must be approved by an accounting office and certified by the concerned body and the Kingdom’s embassy.
• Proof of financial capability to invest, commensurate with the project's capital and each partner's share, in line with the submitted business plan.
• Reservation of a trade name with the Ministry of Commerce.",Issuance of an investment license for non-Saudis to practice commercial activities in accordance with the specified conditions and requirements.,"A value of 10,000 SAR will be added to the subscription to the services of the Investor Relations Centers at the Ministry of Investment in the first year, and 60,000 SAR in the following years / year
This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment."
530,Saudi Food and Drug Authority (SFDA),Certified representative license,This service enables the investor to conclude an agreement between the foreign manufacturer and the legal representative inside the Kingdom of Saudi Arabia.,691061,Issuance of a commercial register,Ministry of Investment,Depending on the entity classification,Depending on the entity classification,"• Applicant must be 18 or above
• The employee shall not be a government employee.
• The capital must be 5000 SAR and above.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements.","It is not required to issue a branch register in the event of a desire to practice the same activity, in the same administrative region, and under the same existing trade name.
This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment."
531,Saudi Food and Drug Authority (SFDA),Certified representative license,This service enables the investor to conclude an agreement between the foreign manufacturer and the legal representative inside the Kingdom of Saudi Arabia.,691061,Registration with relevant government entities,"Ministry of Human Resources and Social Development
The Zakat, Tax and Customs Authority
Saudi Post | SPL
The General Organization for Social Insurance",Depending on the investor type,Depending on investor type ,• Presence of a valid commercial register.,"Establishments and companies are automatically registered after Issuance of the commercial register at the Ministry of Human Resources and Social Development, the Zakat, Tax and Customs Authority, the General Organization for Social Insurance, and the Saudi Post.",This step is illustrative and gets activated automatically
532,Saudi Food and Drug Authority (SFDA),Certified representative license,This service enables the investor to conclude an agreement between the foreign manufacturer and the legal representative inside the Kingdom of Saudi Arabia.,691061,Make an approved agreement between the foreign factory and the legal representative,No data available,No data available,No data available,No data available,"The foreign manufacturer is liable for the design and manufacturing of the medical device or product offered under its name, regardless if it was designed or manufactured by themselves or by another party on their behalf. As for the legal representative, the person authorized in writing by the manufacturer will represent them in the Kingdom and before authorities and will be responsible for the tasks agreed on. ",This step is illustrative and not mandatory for license issuance.
533,Saudi Food and Drug Authority (SFDA),Certified representative license,This service enables the investor to conclude an agreement between the foreign manufacturer and the legal representative inside the Kingdom of Saudi Arabia.,691061,Agreement Certification ,Ministry of Foreign Affairs,Undefined,Undefined,No data available,Certification of agreement by the relevant entities for approval.,No data available
534,Saudi Food and Drug Authority (SFDA),Certified representative license,This service enables the investor to conclude an agreement between the foreign manufacturer and the legal representative inside the Kingdom of Saudi Arabia.,691061,Registeration in the electronic system,SFDA,Free,One day ,No data available,Opening an account in the unified electronic system (GHAD) to obtain an account number for the authorized representative.,"This procedure requires creating a new account if it does not exist.
This procedure is automated."
535,Saudi Food and Drug Authority (SFDA),Certified representative license,This service enables the investor to conclude an agreement between the foreign manufacturer and the legal representative inside the Kingdom of Saudi Arabia.,691061,Issuance of a legal representation license for foreign factories,SFDA,"2,600 SAR / year",One day ,"Presence of a commercial register including the activity of medical devices and supplies.
Paying of the license fee.
Implementing the quality management system in accordance with the Saudi specifications for medical devices, quality management systems, and regulatory requirements.
Opening an account in the unfied system (GHAD).
Provision of an approved agreement between the foreign manufacturer and the authorized representative. Additionally, a letter of ownership of branches  submitted by the main factory, if the foreign factory has branches.
Agreement certification by relevant entities for approval.",Obtaining a legal representation license for foreign factories after paying the fees.,"This procedure is automated.
This procedure requires payment."
536,Saudi Food and Drug Authority (SFDA),Certified representative license,This service enables the investor to conclude an agreement between the foreign manufacturer and the legal representative inside the Kingdom of Saudi Arabia.,691061,Commencing activity,No data available,No data available,No data available,No data available,Start practicing the activity after license issuance .,No data available
537,Saudi Food and Drug Authority (SFDA),Certified representative license,This service enables the investor to conclude an agreement between the foreign manufacturer and the legal representative inside the Kingdom of Saudi Arabia.,691061,Field inspection,SFDA,Free,3 days,No data available,SFDA inspectors' visit to the facility.,"
This step is not mandatory for Issuance of the license, but is required to run the activity."
538,Ministry of Industry and Mineral Resources,An industrial license for an industrial facility in the industrial cities,"Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing activities.",No data available,Issuance of an investment license for the foreign investor,"Ministry of Investment






 Economic Cities and Special Zones Authority","2000 SAR/ year
5 years maximum",One day,"• The investment activity shall not be included in the list of activities excluded from foreign investment.
• Product specifications should match the Saudi, GCC  or international specifications.
• Applicant shall not have conclusive rulings against him due to violations of system provisions inside or outside the Kingdom.
• Applicant shall abide by the conditions and regulations attached to the investment license application form.
• Investment objectives shall be achieved and conditions and regulations on license renewal applications shall be implemented. 
• Presence of a license to practice commercial activity in the Kingdom for foreign investors.
• Presence of commercial register and articles of association of the facility in its country, certified by respective entities and Saudi embassy.
• A commercial register or an extract from the civil status as a proof of profession.
• Presence of Articles of association for a limited liability company.
• Presence of the articles of association for a  joint-stock company.
• Presence of the general manager's passport.
• Presence of the national ID and the family card if one of the partners has the Saudi nationality.
• Submission of the partners' decision stating their desire to invest in the Kingdom, indicating the partners' names, the capital, the ownership percentage of each partner, the main office of the facility and the nature of its activity.
• Appointment of a general manager, determining his powers and certifying it by respective entities and the Saudi embassy.
• Provision of initial approval from the relevant ministries or agencies if the activity requires approval.
• Provision of a detailed action plan.
• Submission of a minimum of 3 year budget for the facility requesting a license from outside the Kingdom, showing the soundness of the financial position. The budget must be approved by an accounting office and certified by the concerned body and the Kingdom’s embassy.
• Proof of financial capability to invest, commensurate with the project's capital and each partner's share, in line with the submitted business plan.
• Reservation of a trade name with the Ministry of Commerce.",Issuance of an investment license for non-Saudis to practice commercial activities in accordance with the specified conditions and requirements.,"A value of 10,000 SAR will be added to the subscription to the services of the Investor Relations Centers at the Ministry of Investment in the first year, and 60,000 SAR in the following years/year.
This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment."
539,Ministry of Industry and Mineral Resources,An industrial license for an industrial facility in the industrial cities,"Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing activities.",No data available,Issuance of a commercial register,Ministry of Commerce,Depending on the entity classification ,Depending on the entity classification ,"•Applicant must be 18 years old or above.
•The employee must not be a governmental employee.
•The capital shall not be less than 5000 SAR.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements.","This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment."
540,Ministry of Industry and Mineral Resources,An industrial license for an industrial facility in the industrial cities,"Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing activities.",No data available,Registration with relevant government entities,"Ministry of Human Resources and Social Development
The Zakat, Tax and Customs Authority
Saudi Post | SPL
The General Organization for Social Insurance",Depending on the investor type,Depending on the investor type ,• Presemce of a valid commercial register.,"Establishments and companies are automatically registered after issuance of the commercial register at the Ministry of Human Resources and Social Development, the Zakat, Tax and Customs Authority, the General Organization for Social Insurance, and the Saudi Post.",This step is illustrative and gets acivated automatically
541,Ministry of Industry and Mineral Resources,An industrial license for an industrial facility in the industrial cities,"Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing activities.",No data available,Site Approval," Economic Cities and Specisl Zones Authority

Saudi Authority for Industrial Cities and Technology Zones

Royal Commission for Jubail and Yanbu",Depending on the area and site,Depending on the area and site,No data available,"Obtaining the approval of the relevant authority on the site, and signing the lease document once all parties have agreed on all conditions.","This procedure is partially automated.
This procedure requires payment.
This procedure requires creating a new account if it does not exist."
542,Ministry of Industry and Mineral Resources,An industrial license for an industrial facility in the industrial cities,"Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing activities.",No data available,Obtainment of  a loan,No data available,No data available,No data available,No data available,Submitting a request for a new funding when needed.,This step is illustrative and not mandatory for license issuance.
543,Ministry of Industry and Mineral Resources,An industrial license for an industrial facility in the industrial cities,"Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing activities.",No data available,Environmental impact assessment study,No data available,No data available,No data available,No data available,"Appointing an accredited environmental office to determine, estimate and evaluate the environmental impacts falling under the second and third categories of activities, considering  economic, social and security aspects in parallel, as well as identify alternatives and necessary measures to protect the environment.",This step is illustrative and not mandatory for license issuance.
544,Ministry of Industry and Mineral Resources,An industrial license for an industrial facility in the industrial cities,"Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing activities.",No data available,Environmental approval for construction,"National Center for Environmental Compliance 

Royal Commission for Jubail and Yanbu",Depending on the entity,Depending on the entity,"Conditions and requirements to achieve National Center for Environmental Compliance:
Filling in the environmental classification form included in the list of environmental permits for the establishment and operation of activities.
Filling in a declaration form that there are no degraded or polluted sites for the activity.
Submitting an environmental rehabilitation plan prepared by a licensee from the National Center for Environmental Compliance.
Submitting waste disposal contracts from a licensed party.
Obtainig approval of the Permanent Committee for the Protection of the Coastal Regions Environment for projects that include backfilling or dredging works and are located within 400 meters of the shoreline.
Undertaking the implementation of results and recommendations of the environmental impact assessment study of the activities.

Conditions and requirements of the Royal Commission for Jubail and Yanbu:
Filling in environmental forms.
Submitting an environmental impact study.
Obtaining a land lease contract in the Royal Commission for Jubail and Yanbu.
","Granting a document to allow the commencement of construction work after completing the classification, assessment of the activity, and expected environmental impacts, as well as specifying the environmental conditions and requirements to be adhered to during the construction work.","This procedure is partially automated.
This procedure requires payment.
This procedure requires creating a new account if it does not exist."
545,Ministry of Industry and Mineral Resources,An industrial license for an industrial facility in the industrial cities,"Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing activities.",No data available,Issuance an industrial license,Ministry of Industry and Mineral Resources,Free,One day,"Presence of a valid commercial register for the industrial facility.
Presence of an environmental permit.
Presence of a municipal commercial license.
Submission of a land allocation contract issued by the authorities supervising the sites.
Obtainment of approval of the authority supervising the site.
Filling out the electronic form on the website of the Ministry of Industry and Mineral Resources.","Obtaining the industrial license for industrial facilities after completing the technical and economic study of the application, and ensuring completion of all data and documents to be able to practice the activity.","This procedure is partially automated.
        This procedure requires creating a new account if it does not exist."
546,Ministry of Industry and Mineral Resources,An industrial license for an industrial facility in the industrial cities,"Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing activities.",No data available,Commencing activity,No data available,No data available,No data available,No data available,Start practicing the activity after issuance of the license.,No data available
547,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Issuance of an investment license for the foreign investor,Ministry of Investment,"
2000 SAR/ year
5 years maximum",One day,"• The investment activity shall not be included in the list of activities excluded from foreign investment.
• Product specifications should match the Saudi, GCC  or international specifications.
• Applicant shall not have conclusive rulings against him due to violations of system provisions inside or outside the Kingdom.
• Applicant shall abide by the conditions and regulations attached to the investment license application form.
• Investment objectives shall be achieved and conditions and regulations on license renewal applications shall be implemented. 
• Presence of a license to practice commercial activity in the Kingdom for foreign investors.
• Presence of commercial register and articles of association of the facility in its country, certified by respective entities and Saudi embassy.
• A commercial register or an extract from the civil status as a proof of profession.
• Presence of Articles of association for a limited liability company.
• Presence of the articles of association for a  joint-stock company.
• Presence of the general manager's passport.
• Presence of the national ID and the family card if one of the partners has the Saudi nationality.
• Submission of the partners' decision stating their desire to invest in the Kingdom, indicating the partners' names, the capital, the ownership percentage of each partner, the main office of the facility and the nature of its activity.
• Appointment of a general manager, determining his powers and certifying it by respective entities and the Saudi embassy.
• Provision of initial approval from the relevant ministries or agencies if the activity requires approval.
• Provision of a detailed action plan.
• Submission of a minimum of 3 year budget for the facility requesting a license from outside the Kingdom, showing the soundness of the financial position. The budget must be approved by an accounting office and certified by the concerned body and the Kingdom’s embassy.
• Proof of financial capability to invest, commensurate with the project's capital and each partner's share, in line with the submitted business plan.
• Reservation of a trade name with the Ministry of Commerce.",Issuance of an investment license for non-Saudis to practice commercial activities in accordance with the specified conditions and requirements.,"A value of 10,000 SAR will be added to the subscription to the services of the Investor Relations Centers at the Ministry of Investment in the first year, and 60,000 SAR in the following years/year.
This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment."
548,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Issuance of a commercial register,Ministry of Commerce,Depending on the entity classification,Depending on the entity classification,"•Applicant must be 18 years old or above.
•The employee must not be a governmental employee.
•The capital shall not be less than 5000 SAR.
•It is not required to issue a branch register for the same activity, practiced in the same administrative region.
Issuing the main register requires the following:
• Electronically submitting an application to establish the company.
• Submitting a letter signed by the founders establishing the company.
• Presence of a national ID.
Issuing a main register for joint-stock companies requires:
•Minimum capital of 500,000 SAR.
•Presence of the company's articles of association and articles of incorporation.
Issuing a branch register requires:
• Submitting a letter from the company stating the issuance of a company branch, including the city of the branch and the branch manager, attested by the Chamber of Commerce.
• Confirmation of the investor's deposit at the end of the company's fiscal year.","A legal document that contains the investor's data and his activity, enabling him to carry out his activity with an official permit in accordance with the specific conditions and requirements.","This procedure requires creating a new account if it does not exist.
This procedure is automated.
This procedure requires payment."
549,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Registration with relevant government entities,"Ministry of Human Resources and Social Development
The Zakat, Tax and Customs Authority
Saudi Post | SPL
The General Organization for Social Insurance",Depending on the investor type ,Depending on the investor type ,• Presence of a valid commercial register.,"Establishments and companies are automatically registered after Issuance of the commercial register at the Ministry of Human Resources and Social Development, the Zakat, Tax and Customs Authority, the General Organization for Social Insurance, and the Saudi Post.",This step is illustrative and gets activated automatically
550,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Designation of an engineering office,No data available,Depending on the office ,Depending on the office ,No data available,Appointing an accredited engineering office to obtain building and safety plans in accordance with the Saudi Building Code.,This step is illustrative and not mandatory for license issuance.
551,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Site Approval,MOMRAH,Depending on the  classification + survey fees of 20 SAR,Instant,No data available,"Obtaining the approval of the planning authority in the Ministry of Municipal, Rural Affairs and Housing on the site on which the activity is to be established.","This procedure is automated.
This procedure requires payment.
This procedure requires creating a new account if it does not exist."
552,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Environmental impact assessment study,No data available,No data available,No data available,No data available,"Appointing an accredited environmental office to determine, estimate and evaluate the environmental impacts falling under the second and third categories of activities, considering   economic, social and security aspect in parallel, as well as identify alternatives and necessary measures to protect the environment.",This step is illustrative and not mandatory for license issuance.
553,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Environmental approval for construction,National Center for Environmental Compliance ,"First category: 1000 SAR
    Second category: 10,000 SAR
Third Category: Detailed in Additional Information","First category: 15 days
    Second category: 40 days
    Third category: 85 days","Filling in the environmental classification form included in the list of environmental permits for the establishment and operation of activities.
Filling in a declaration form that there are no degraded or polluted sites for the activity.
Submitting an environmental rehabilitation plan prepared by a licensee from the National Center for Environmental Compliance.
Submitting waste disposal contracts from a licensed party.
Obtaining the approval of the Permanent Committee for the Protection of the  Coastal Regions Environment for projects that include backfilling or dredging works and are located within 400 meters of the shoreline.
Undertaking the implementation of the results and recommendations of the environmental impact assessment study of the activities.","Granting a document to allow the commencement of construction work after completing the classification, assessment of the activity, and expected environmental impacts, and specifying the environmental conditions and requirements to be adhered to during the construction work.","This procedure requires creating a new account if it does not exist.
 This procedure is partially automated.
  This procedure requires payment.
        The fee for reviewing the environmental classification form is 500 riyals.
        The fee for the third category depending on the construction cost:
13,000 SAR for projects whose construction cost is 10 million.
            27,500 SAR for projects whose construction cost ranges between 10 and 25 million.
            45,000 SAR for projects whose construction cost ranges between 25 and 50 million.
            75,000 SAR for projects whose construction cost ranges between 50 and 100 million.
            137,500 SAR for projects whose construction cost ranges between 100 and 250 million.
            275,000 SAR for projects whose construction cost exceeds 250 million."
554,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Issuance of a construction license ,MOMRAH,Depending on the  classification + survey fees of 20 SAR,Instant,"Presence of an updated electronic deed from the Ministry of Justice, a housing contract, or an investment contract.
Presence of a survey report for the purpose of construction.
Presence of insurance against hidden defects in case the building requires it.
Hiring a designer from an engineering office.
Hiring a supervisor from an engineering office.
Hiring a building contractor.
Payment of the service fee.",Obtaining a  construction license to carry out construction works.,"
This procedure is partially automated.
This procedure requires payment."
555,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Connecting water and electricity,"National Water Company
Saudi Electricity Company",Depending on the facility,Depending on the service,"Preparing the meter installation site  in accordance with the company's technical requirements, and removing cables  in accordance with the approved sizes.
Implementing thermal insulation depending on the company's requirements.
Implementing the grounding system.","Connecting water and electricity services upon 75% completion of the construction work, in accordance with the instructions and specified requirements.","This procedure is partially automated.
This procedure requires payment.
Periodic inspections of construction procedures are carried out by the Ministry of Municipal, Rural Affairs and Housing."
556,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Issuance of an occupancy certificate,"Ministry of Municipal, Rural Affairs and Housing",400 SAR + survey Fees 20 SAR,Instant,"Presence of a building permit.
Payment of the service fee.
Hiring an engineering office.",Issuance of a certificate of authenticity for the facilities' compliance with safety requirements and standards.,"This procedure is automated.
This procedure requires payment."
557,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Field inspection to check the safety of the building,Civil Defense ,150 SAR,Undifined ,No data available,Ensuring the application of safety requirements and adherence to security instructions.,This procedure requires payment.
558,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Issuance of a commercial activity license and safety certificate,"MOMRAH
Civil Defense ",Depending on the activity classification + survey fees of 20 SAR,5 days ,"Presence of a valid commercial register.
Presence of a permit from the Civil Defense, if there is an office.
Presence of articles of association for companies.
Presence of the title deed or lease contract if there is an office.
Applicant shall not be prohibited from practicing the activity.
Applicant shall be committed to fulfilling the conditions of the activity.
Applicant shall be committed to updating the data in the system.
Applicant shall be able to request the issuance of a license for his shop on his own behalf or on behalf of another, with a copy of the Power of attorney.
Applicant shall ensure the validity and accuracy of the data entered, bearing in mind that all transactions through the beneficiary's account are binding.
The attached documents shall match the original copies.","This procedure requires creating a new account if it does not exist.
        This procedure is partially automated.
        This procedure requires payment.
        The fee for reviewing the environmental classification form is 500 riyals.
        The fee for the third category depending on the construction cost:
13,000 SAR for projects whose construction cost is 10 million.
            27,500 SAR for projects whose construction cost ranges between 10 and 25 million.
            45,000 SAR for projects whose construction cost ranges between 25 and 50 million.
            75,000 SAR for projects whose construction cost ranges between 50 and 100 million.
            137,500 SAR for projects whose construction cost ranges between 100 and 250 million.
            275,000 SAR for projects whose construction cost exceeds 250 million.","This procedure is automated.
This procedure requires payment."
559,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Environmental approval for operation,National Center for Environmental Compliance,"First category: 1000 SAR
    Second category: 10,000 SAR
    Third category: Detailed in Additional Information","First category: 15 days
    Second category: 40 days
    Third category: 85 days","Filling in the environmental classification form included in the list of environmental permits for the establishment and operation of activities.
Filling in a declaration form that there are no degraded or polluted sites for the activity.
Submittng industrial licenses for facilities located outside the scope of plots designated for industrial use.
Submitting an environmental rehabilitation plan and an environmental management plan prepared by a licensee from the National Center for Environmental Compliance .
Submitting waste disposal contracts from a licensed party.
Submitting an energy efficiency certificate for activities that require it.
Conducting a detailed environmental impact assessment study on activities that fall within the scope of environmentally sensitive areas and receptors, or at a distance not exceeding 500 meters from them, and undertake the implementation of the results and recommendations of the study.
Obtaining approval of the Permanent Committee for the Protection of Coastal Regions Environment for projects that include backfilling or dredging works, and are located within 400 meters from the shoreline."," Granted approval upon completion of construction operations, ensuring that all environmental permit requirements are adhered to.","This procedure requires creating a new account if it does not exist.
        This procedure is partially automated.
        This procedure requires payment.
        The fee for reviewing the environmental classification form is 500 riyals.
        The fee for the third category depending on the construction cost:
13,000 SAR for projects whose construction cost is 10 million.
            27,500 SAR for projects whose construction cost ranges between 10 and 25 million.
            45,000 SAR for projects whose construction cost ranges between 25 and 50 million.
            75,000 SAR for projects whose construction cost ranges between 50 and 100 million.
            137,500 SAR for projects whose construction cost ranges between 100 and 250 million.
            275,000 SAR for projects whose construction cost exceeds 250 million."
560,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Issuance of an industrial license,Ministry of Industry and Mineral Resources,Free,one day,"Presence of a valid commercial register for the industrial facility.
Presence of an environmental permit.
Presence of a municipal commercial license.
Submission of a land allocation contract issued by the authorities supervising the sites.
Obtainment of approval of the authority supervising the site.
Filling out the electronic form on the website of the Ministry of Industry and Mineral Resources.","Obtaining the industrial license for industrial establishments after completing the technical and economic study of the application, and ensuring the completion of all data and documents to be able to practice the activity.","This procedure requires creating a new account if it does not exist.
This procedure is partially automated."
561,Ministry of Industry and Mineral Resources,"Licensing an industrial facility within the zones regulated by the Ministry of Municipal, Rural Affairs and Housing in the event of the absence of an existing facility","Providing services for Issuance of, renewing, amending and canceling a license, or transferring its ownership to facilities that carry out manufacturing acivities.",No data available,Endorsement of cadres visas,Ministry of Industry and Mineral Resources,200 SAR / visa,one day ,No data available,Submitting a request to endorse granting visa credits for facility workers recruitment.,"This procedure is partially automated.
This procedure requires payment.
This step is not mandatory for Issuance of the license, but is required to run the activity."
